artist,rank,title,trending
Lil Nas X Featuring Billy Ray Cyrus,1,Old Town Road,
Billie Eilish,2,Bad Guy,
Shawn Mendes & Camila Cabello,3,Senorita,
Lizzo,4,Truth Hurts,
Khalid,5,Talk,
Chris Brown Featuring Drake,6,No Guidance,
Ed Sheeran & Justin Bieber,7,I Don't Care,
Ariana Grande & Social House,8,Boyfriend,
Post Malone Featuring Young Thug,9,Goodbyes,down
Lil Tecca,10,Ran$om,
Shawn Mendes,11,If I Can't Have You,up
Jonas Brothers,12,Sucker,down
Drake Featuring Rick Ross,13,Money In The Grave,
Post Malone & Swae Lee,14,Sunflower (Spider-Man: Into The Spider-Verse),down
DaBaby,15,Suge,down
Blanco Brown,16,The Git Up,down
Lewis Capaldi,17,Someone You Loved,up
Taylor Swift,18,You Need To Calm Down,down
Panic! At The Disco,19,"Hey Look Ma, I Made It",down
Sam Smith & Normani,20,Dancing With A Stranger,down
Luke Combs,21,Beer Never Broke My Heart,
Ed Sheeran Featuring Khalid,22,Beautiful People,up
Post Malone,23,Wow.,down
Halsey,24,Without Me,down
Polo G Featuring Lil Tjay,25,Pop Out,up
Marshmello & Bastille,26,Happier,down
"Young Thug, J. Cole & Travis Scott",27,The London,up
Dan + Shay,28,Speechless,down
Blake Shelton,29,God's Country,down
Ariana Grande,30,7 Rings,
Lil Nas X,31,Panini,
Luke Bryan,32,Knockin' Boots,up
Dan + Shay,33,All To Myself,up
Ava Max,34,Sweet But Psycho,down
Saweetie,35,My Type,up
Morgan Wallen,36,Whiskey Glasses,down
Sam Smith,37,How Do You Sleep?,up
Katy Perry,38,Never Really Over,down
NLE Choppa,39,Shotta Flow,down
Jason Aldean,40,Rearview Town,up
Megan Thee Stallion Featuring DaBaby,41,Cash Shit,up
Khalid,42,Better,up
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",43,China,up
"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",44,Otro Trago,down
Lil Baby & DaBaby,45,Baby,down
Justin Moore,46,The Ones That Didn't Make It Back Home,up
Meek Mill Featuring Drake,47,Going Bad,up
YK Osiris,48,Worth It,up
Lady Gaga & Bradley Cooper,49,Shallow,down
Offset Featuring Cardi B,50,Clout,down
"YG, Tyga & Jon Z",51,Go Loko,up
SHAED,52,Trampoline,up
Bad Bunny & Tainy,53,Callaita,down
Chris Young,54,Raised On Country,up
5 Seconds Of Summer,55,Easier,up
The Chainsmokers & Bebe Rexha,56,Call You Mine,up
Florida Georgia Line,57,Talk You Out Of It,up
Drake,58,Trust Issues,
DJ Khaled Featuring SZA,59,Just Us,down
Drake,60,How About Now,
Drake,61,The Motion,
Marshmello & Kane Brown,62,One Thing Right,down
Jonas Brothers,63,Only Human,up
Cardi B,64,Press,up
Eric Church,65,Some Of It,down
Taylor Swift Featuring Brendon Urie,66,ME!,down
Sarah Jeffery,67,Queen Of Mean,
Drake,68,Dreams Money Can Buy,
Chris Lane,69,I Don't Know About You,up
"Lunay, Daddy Yankee & Bad Bunny",70,Soltera,up
Y2K & bbno$,71,Lalala,up
Dierks Bentley,72,Living,up
Rick Ross Featuring Drake,73,Gold Roses,down
Ellie Goulding & Juice WRLD,74,Hate Me,
Ali Gatie,75,It's You,
Carrie Underwood,76,Southbound,up
"Tyler, The Creator",77,Earfquake,down
"Jhay Cortez, J Balvin & Bad Bunny",78,No Me Conoce,up
NF,79,Time,down
Chance The Rapper Featuring MadeinTYO & DaBaby,80,Hot Shower,down
Khalid,81,Right Back,
Ambjaay,82,Uno,
Meek Mill Featuring Ella Mai,83,24/7,up
Big Sean,84,Single Again,down
Drake,85,Club Paradise,
Kenny Chesney,86,Tip Of My Tongue,up
Eli Young Band,87,Love Ain't,up
Ed Sheeran & Travis Scott,88,Antisocial,down
Mustard Featuring Roddy Ricch,89,Ballin',up
Keith Urban,90,We Were,
Bryce Vine Featuring YG,91,La La Land,down
NAV Featuring Meek Mill,92,Tap,down
Tool,93,Fear Inoculum,
Cole Swindell,94,Love You Too Late,
Drake,95,Days In The East,
Lil Nas X & Cardi B,96,Rodeo,down
Brantley Gilbert + Lindsay Ell,97,What Happens In A Small Town,
Blueface & Rich The Kid,98,Daddy,down
Matt Stell,99,Prayed For You,
Beyonce,100,Before I Let Go,down
